claims_verbatim,trump_stance
israel/usa flag; terrorist supporters!; shame on you!; mass deportations!; trump; thin blue line flag; take a menorah and impale yourself with it!,Pro-Trump
"fa: engage in insurrection / fo: disqualified from office; hold your oath; the constitution is not optional; congress uphold your oath; insurrectionists can't be president; ""how stupid is this moment?"" -steve schmidt; 14th now; courage / fortitude / democracy; insurrectionists can't be president; lock him up! lock him up!; ""you knew i was a snake"" -donald trump; decline to certify",Unclear
"honor your oath / section 3 / 14th amendment; trump can not be certified because he is disqualified; hold your oath; ""you knew i was a snake."" -donald trump; congress - uphold your oaths and defend the constitution / 14th amendment, section 3; honor your oath; congress, this is on you; decline to certify; the constitution is not optional; trump is not qualified; democrats wake up; congresspeople keep us safe, hallelujah!; 45 is constitutionally disqualified from being 47; democrats do your job; deport elon musk / save democracy; call your representatives!",Unclear
usa flag; trump flag; make america great again; gadsden flag; women for trump flag; trump 2024 / fuck your feelings; trump won flag; come and take it flag; one nation under god flag; thin blue line flag; usa/israel flag; trump won / get over it,Pro-Trump
j6 reminder trump tried to overthrow democracy; 14th amendment section 3,Unclear
"fascist [donald trump]; no pardons for jan 6 lynch mobs; no pardon for insurrection; fox lies democracy dies; we say no pardons for lynch mobs! we say no pardons for armed militias! we say no pardons for oath keepers! we say no pardons for proud boys! we say no pardons for three percenters!; trump's mob attacked cops; fox lies; fox poisons america; ""i'm above the law"" [joseph stalin] [vladimir putin] [donald trump] [adolph hitler]; fascists take power with propaganda",Pro-Trump
keep ny families together; representacion legal ahora; care for immigrant families; stop separating families; dignity not detention; abolish ice; pass new york for all / protect immigrant new yorkers from trump's deportation machine; nyers need access to representation; ice out of new york; all are welcome here; free them all; say it lud! say it clear! immigrants are welcome here!,Anti-Trump
"legalize farm workers; mexico flag; no human is illegal; more reformation less deportation; less ice more rights; protect families; stop tearing families apart; solidarity has no borders; esta es nuestra casa. conocemos nuestros derechos.; rompe la frontera; where is my mother [onesie] / do you care?; no more detention; all humans are legal; keep families together; si se puede; stop profiling our workers; chinga tu madre ice; families belong together; we feed you; we feed your families; families don't have borders; bp get out now; we're not afraid; migration is not illegal [monarch butterfly]; immigrants make america great; keep families together / end ice; latinos unidos; united farm workers flag; no tenemos miedo; unidos tenemos poder; being brown is not illegal; el amor no tiene fronteras; protect families; usa flag; immigrants make america great; cbp bpd idf they're all the same [red triangle]; solo queremos trabajar; tell pharaoh, let my people go; no wall / no ban / no human is illegal [butterfly wings]; leave our schools alone; don't bite the hand that feeds you; immigrant [strikethrough] indigenous; campesinos nos alimentan; palestine flag; ice is a terrorist organization; from palestine to mexico border walls have got to go; en nombre de la humanidad, nosotros no negamos a aceptar a un estados unidos fascista; palestine stands with our migrant community; resist; viva mexico flag; no human is illegal / farmworkers feed you; hacienco el trabajo que los stadounideses no hacen; deport trumpas; our families are not criminals; nicaragua flag; guatemala flag; they feed us. don't deport them; america = inmigrantes; my family picks your fruit; chinga la migra; si se puede; stop trying to erase us; fuck ice; aviso la migra esta en la area; justicia sin fronteras; we are the backbone of america; por tu futuro y de su familia protesten; ice destroys families; latinos unidos",Anti-Trump
usa flag; stop political persecution; make america great again; black lives maga; trump won / trifecta 45-47; trump flag; israel flag; kangaroo court,Anti-Trump
viva mexico!; mexico flag; defend immigrant families; the people will defeat trumps billionaire agenda; the people united will defend immigrant families; stop the trump maga-fascist program / no mass deportations / we are all illegals; money for peoples needs not the war machine,Anti-Trump
"protect families; no muerdas las que te dan de comer; stop family separations; mexico flag; basta con la migra / stop deportation; mexican lives matter; more reformation less deportation; viva mexico flag; no human is illegal; unidos tenemos poder; product of an immigrant; immigrants need water not ice; f**k ice; stop repeating history; humans are not illegal; usa/mexico flag; no somos criminales; ustedes nos llaman ilegales cuando estamos en la tierra que nos robaron / no sabe la historia que james polk nos robo, la historia dice que otros son ilegales no los mexicanos; solidarity has no borders [monarch butterfly]; i stand with immigrants; nadie es ilegal en tierra robada; without immigrants there would be no usa; i need my parents, i am only 10; this fight is not just for today, it's for the generations to come. fear may try to hold us back, but our ancestors' vision and the tireless strength of farm workers will guide us to victory; families belong together; abolish ice / no human being is illegal [monarch butterfly]; silence gives consent; keep families together; we are only as strong as we are united as weak as we are divided; mexico/rainbow pride flag; end the raids; keep families together / farm workers keep food on american tables; immigrants make america great; my parents fought for me now i will fight for them; migration is not illegal [monarch butterfly]; don't bite the hand that feeds you; path to legalization; always hiring field workers; me gustan mexicanas / stop deportations; chinga la migra; este pais no es nada sin inmigrantes; injustice cruel exploitative; primera generacion, yo cargo su sudor lagrimas y sus suenos; immigrants keep america running; mi mama y mi papa son gente trabajadores no criminales; their work our prosperity; basta con la migra / stop deportations; break the ice; fuck la migra / hecho en mexico; no hay raza mas trabajadora que los mexicanos; thought all lives matter?; immigrants are the pillars of this country / stop deportations; somos gente trabajadora no criminales; we all bleed red / stop ice; i care / do you?; trump has more felony convictions than our undocumented brothers & sisters; is it illegal to pursue happiness?; no human is illegal / farmworkers feed you; ice destroys families & will starve the country; cbp we feed you and your family; usa flag; immigrant [strikethrough] indigenous; hoy grito lo que mi familia calla por miedo / familias unidas tenemos derechas; keep the immigrants deport the racists; my mom is not a criminal 4 wanting to give me a better life; we are moms, dads, uncles, aunties, brothers, sisters dreamers",Anti-Trump
"don't bite the hand that feeds you; unidos no seran vencidos; nobody is illegal on stolen land; no muerdas las manos que te dan de comer; mexico flag; we are all immigrants / united we stand / corazon mexican 100% chapina; stop the raids / no mas redadas; families belong together; we are not criminals / we build your houses / we cut your grass / we cook your food / we clean your house / we pay taxes... / we make america great; basta con la migra / stop deportations; we stand with hispanics; we speak for those who can't; viva la raza; somos la voz de los que no pueden gritar #immigrantlivesmatter; children belong with their family; deportation is separation; solidarity has no borders; no to the separation of families anywhere in the world / stop deportation; usa/mexico flag; stop deportation #immigrantlivesmatter; sin hispanos no existe usa; brown pride; ""no puede ser democracia lo que enriquece a unos cuantos empobrece a las otras""; ice out of la; trump stop scapegoating migrant workers / ice out of la; no one is illegal on stolen land; from the river to the sea palestine will be free; freedom cannot exist on stolen land; we should all care; nicaragua flag; still undocumented still luchando; god is watching / raids are inhuman",Anti-Trump
fight trump and the gop agenda / stand with palestine / stop attacks on immigrants / defend women's and lgbtq+ rights; say no to mass deportation; abortion is healthcare; palestine flag,Unclear
fight trump and the gop agenda / stand with palestine / stop attacks on immigrants / defend women's and lgbtq rights; abortion is healthcare; say no to mass deportation; stand up! fight back! palestine flag,Unclear
drop adl; palestine flag; not in our name; we can't trust you adl! all the lies that you tell!; adl loves trump not communities; let gaza live; adl supports genocide; shame on you adl for all the people you surveil!; jews say: stop genocide in gaza,Unclear
"progress pride flag; thanks trump / you turned me into an activist; women's rights are human rights; bans off our bodies; i will not go quietly back to the 1950s; my body, my choice; separation of church and state",Unclear
love not hate; usa flag; black lives matter; the future is ours. fight for it.; a woman's place is in the resistance; no mas/s deporation; immigrants are valuable to usa; men of quality do not fear equality; it's not a difference in political opinion it's a difference in morality; no sign is big enough to list all the reasons i am here; democracy over dictatorship; hate never made american great; pro-democracy / anti-trump; m.l. king -> rev. barber / fight poverty not the poor; the revolution will not be televised; protect families; stop cop cities; fascism is bananas; democracy matters; usa has no king,Anti-Trump
the future is female; we're not going back; babe vote; our body our choice; abortion / never an easy choice / sometimes the right choice / always a woman's choice; women's rights are human rights; vote like our rights depend on it because they do; enough; palestine flag; we win when we are united [ruth bader ginsberg]; equality; give us / liberty - justice - freedom; still we rise; angry women will change the world; my favorite season is the fall of patriarchy; why does my gay marriage bother you?; well-behaved women rarely make history; the future is still female; vote like your daughter's rights depend on it; petrify the patriarchy [medusa]; felon trump violates contitution (14th amend.) and women (rapist); era forever; don't let the bastards grind you down; vulva la revolution; childless cat lady; i still have a dream; love wins [rainbow pride flag]; i've seen better cabinet choices at ikea; i'm with her [statue of liberty]; we're better than this / free america; usa flag; our bodies are not political battlegrounds; rise and resist; we choose freedom; not my felon; fafo; equal rights for all; this loss hurts. but please never stop believing that fighting for what's right is worth it. it's always worth it. -hillary clinton,Unclear
